;words;doc_occurance
74;atmospheric;5
92;auroral;1
93;average;5
94;base;6
96;begins;5
97;billion;7
98;billions;2
99;biochemical;5
100;biologist;1
101;black;3
102;blue;4
104;bodies;6
107;boundary;4
108;burn;2
115;case;6
116;cause;11
117;causes;8
118;celestial;2
119;certain;13
121;change;9
122;changes;12
123;chemistry;8
124;circulation;3
127;clarification;6
129;climate;8
132;close;6
134;closer;6
135;closest;5
136;cold;9
137;collapsed;1
138;collection;2
139;collide;3
141;column;1
142;combination;5
143;commonly;10
144;communication;2
145;complex;14
155;compound;6
156;consists;9
157;constellation;1
162;convection;2
164;cosmic;2
165;covered;3
166;craters;1
169;create;5
170;current;10
171;cyanobacteria;4
172;damage;4
173;data;10
174;daylight;1
175;declines;2
177;decreases;3
178;define;6
179;defined;7
180;defining;3
181;denoted;1
183;dependent;7
184;depletion;2
185;deposits;4
186;depth;2
187;describes;3
189;detected;4
190;determination;2
191;determined;7
195;diagram;4
197;differences;7
200;differs;4
201;digital;2
203;diminishing;2
204;dioxide;7
205;dissociated;1
206;distance;5
207;distant;2
209;dots;2
210;dramatic;5
211;drawn;4
212;dry;6
214;dust;4
215;e;9
216;earth;8
224;effects;8
227;efficient;2
228;enceladus;2
231;enhance;3
232;enters;3
233;environment;8
234;equator;4
235;erase;1
236;erased;1
237;erodes;1
238;erosion;2
239;escape;3
245;escaping;1
247;europa;1
248;evolutionary;6
249;exact;3
250;exceed;4
252;exist;6
253;exoplanet;4
254;exosphere;2
256;exponentially;2
257;extending;1
258;extends;2
260;extrasolar;3
261;extremely;8
262;factor;6
265;farther;3
266;fast;1
267;faster;4
268;field;8
269;flight;3
270;force;3
275;formation;10
276;formed;12
277;fraction;2
278;frequencies;1
279;friction;1
280;frost;3
281;frozen;1
282;gas;6
289;gases;5
302;generates;2
303;genetic;6
304;geological;5
305;george;5
307;giant;4
310;giving;5
311;governed;2
312;gravitational;2
315;gravity;3
319;greater;6
320;greatly;6
321;greek;6
322;halo;2
323;hd;3
325;heat;8
330;heated;2
331;heavier;4
332;height;4
335;held;4
336;helium;4
340;henry;3
347;hitting;1
348;holds;3
349;hubble;1
353;impact;7
355;include;14
357;including;13
358;incoming;3
359;increases;6
361;inflated;1
362;influence;7
364;interacts;2
365;interior;5
367;internationally;2
368;interstellar;4
369;introduction;9
370;inversely;1
371;io;1
372;ionised;1
373;ionosphere;3
374;ions;7
375;irrational;1
378;jupiter;2
379;kinetic;2
382;kpa;1
383;lapse;1
385;largely;6
386;layer;5
392;layers;3
394;leads;6
395;leakage;1
396;leaves;3
397;life;12
399;light;9
401;lighter;3
402;likely;9
405;liquids;1
407;listed;3
410;local;8
415;loss;7
416;lost;4
419;low;7
424;lower;9
425;lowest;4
426;magnetic;2
428;magnetospheric;1
429;mainly;10
430;majority;5
431;mars;3
434;mass;8
440;mean;4
443;measured;7
444;mechanisms;7
445;mercury;3
446;meteor;2
447;meteors;2
449;methane;6
450;model;8
451;modification;3
453;molecular;11
457;molecules;10
460;moon;3
463;motion;2
464;moves;5
465;moving;3
466;nebula;3
474;net;5
475;news;4
476;night;5
477;nitrogen;6
480;objects;4
486;occurs;8
488;opaque;1
489;open;3
490;orbit;3
492;organisms;8
494;original;14
495;outer;7
499;outside;7
504;ozone;2
506;paleoatmosphere;1
507;particles;4
509;past;5
510;perpendicularly;1
511;perseus;3
513;perspective;1
514;photo;2
515;photosphere;1
516;picks;1
517;place;9
518;planet;5
523;planetary;4
526;planets;3
531;pluto;2
533;point;12
534;points;5
535;polar;6
538;possess;4
539;present;12
541;pressure;5
547;prevent;8
548;primarily;6
549;primary;9
550;probes;3
555;proportional;1
558;protection;3
559;quantities;3
560;quarters;2
561;quite;8
562;radially;2
563;radiation;4
564;radio;3
565;range;8
566;ranges;6
568;rapidly;3
570;rate;9
571;readily;5
572;recognized;4
573;redirects;6
577;referred;4
578;region;4
